AS46044,UNPAD-AS-ID Universitas Padjadjaran,0.00,0.00,2731,
AS46045,SIAK-AS-ID PD Sarana Pembangunan Siak,0.00,0.00,229,
AS46047,POLSRI-AS-ID Politeknik Negeri Sriwijaya,0.23,0.00,435,
AS46048,TRIMEGAH-AS-ID PT Trimegah Securities Tbk,0.00,0.00,66,
AS46049,UNDIP-AS-ID Universitas Diponegoro,0.00,0.00,1391,
AS46050,JOGJACAMP-AS-ID PT JC Indonesia,0.00,0.00,97,
AS46051,CITRA-AS-ID PT JEMBATAN CITRA NUSANTARA,0.00,0.00,437,
AS46052,EEPIS-AS-ID Politeknik Elektronika Negeri Surabaya,0.00,0.00,646,
AS46054,WLAN-AS-ID PT Wahana Lintas Nusa Persada,0.00,0.00,652,
AS46055,ROKA-AS-ID PT ROKA LANE ASIA,,,1,
AS46055,ROKA-AS-ID PT ROKA LANE ASIA,0.00,0.00,1,
AS46056,GCC-AS-ID PT Jovimaro Karya Agung,0.00,0.00,378,
AS46057,UMM-AS-ID Universitas Muhammadiyah Malang,0.00,0.00,499,
AS46058,LINKS-AS-ID PT. Triwahana Gemasakti,,,32,
AS46058,LINKS-AS-ID PT. Triwahana Gemasakti,0.00,0.00,32,
AS46059,UM-AS-ID Universitas Negeri Malang,0.00,0.00,53,
AS46061,AIM-AS-ID PT. Adi Inti Mandiri,0.00,0.00,293,
AS46062,LINTASBUANA-AS-ID PT. BUANA LINTAS MEDIA,,,22,
AS46062,LINTASBUANA-AS-ID PT. BUANA LINTAS MEDIA,0.00,0.00,22,
AS46063,GRAHANET-AS-ID PT.Graha Telekomunikasi Indonesia,0.00,0.00,1294,
AS50896,AS-REGION40,,,42,
AS50896,AS-REGION40,0.00,0.00,42,
AS55652,DASHNET-AS-ID Sumidhaz Permata Bunda, PT,0.00,0.00,1250,
AS55653,SKYLINE-AS-ID Skyline Semesta, PT,0.00,0.00,2100,
AS55654,IDNIC-IAINSURAKARTA-AS-ID IAIN Surakarta,0.00,0.00,87,
